Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestUserRoleLoginShowMenus,Chrome 66.0.3359.139,,2018-05-09 11:02:21,2018-05-09 11:02:48,26.445s,PASSED
,,,,,,
Test Cases/TESTCASE3,Chrome 66.0.3359.139,,2018-05-09 11:02:21,2018-05-09 11:02:37,15.507s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 11:02:22,2018-05-09 11:02:25,2.792s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 11:02:25,2018-05-09 11:02:35,10.113s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 11:02:35,2018-05-09 11:02:35,0.191s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 11:02:35,2018-05-09 11:02:35,0.122s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 11:02:35,2018-05-09 11:02:35,0.112s,PASSED
verifyElementClickable,Chrome 66.0.3359.139,,2018-05-09 11:02:35,2018-05-09 11:02:36,1.083s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 11:02:36,2018-05-09 11:02:36,0.046s,PASSED
verifyElementClickable,Chrome 66.0.3359.139,,2018-05-09 11:02:36,2018-05-09 11:02:36,0.040s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 11:02:36,2018-05-09 11:02:36,0.040s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 11:02:36,2018-05-09 11:02:37,0.658s,PASSED
,,,,,,
Test Cases/TESTCASE3,Chrome 66.0.3359.139,,2018-05-09 11:02:37,2018-05-09 11:02:48,10.576s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 11:02:37,2018-05-09 11:02:39,1.961s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 11:02:39,2018-05-09 11:02:45,6.410s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 11:02:45,2018-05-09 11:02:46,0.144s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 11:02:46,2018-05-09 11:02:46,0.130s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 11:02:46,2018-05-09 11:02:46,0.102s,PASSED
verifyElementClickable,Chrome 66.0.3359.139,,2018-05-09 11:02:46,2018-05-09 11:02:47,1.074s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 11:02:47,2018-05-09 11:02:47,0.034s,PASSED
verifyElementClickable,Chrome 66.0.3359.139,,2018-05-09 11:02:47,2018-05-09 11:02:47,0.034s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 11:02:47,2018-05-09 11:02:47,0.036s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 11:02:47,2018-05-09 11:02:48,0.639s,PASSED
